COUNTRY,feddummy,fedtype,fedlijp,fedkeman,fedtreis,fedgth,fedmadx,pcgrants,dezrev2,dezrev3,dezrev4,borrauton,hbc,snadm,dezrev1,pcsnborr,fimb1,fimb2,grants,dezexp,pcdef,def,pcpord,pord,pcedu,edu,pchealth,health,pcsoc,soc,pchous,hous,pcrec,rec,pcecon,econ,pcagri,agri,pctcom,tcom,pcenv,env,gdpppp94,gdpppp03,growth10,unemp10,infl10,tradebal10,govsize10,socexp10,budgdef10,incineq1,incineq2,incineq3,pop,area,popdens,ethnic,religion,hdi02,urban,legeng,legfren,legger,legscan,democ,medage,police,teacher,pisa,librarians,econ1,envimp,roads,polisys,label
Australia,1,0,1.72,0.93,1,-1,3,0.37,0.33,,,2.5,2.6,0.63,0.2163172,0.2497072,0.6442055,0.6055017,0.1605097,0.4080877,0.0400299,0,0.0367031,0.8547007,0.1480483,0.6633057,0.1577083,0.4729293,0.2313377,0.0923324,0.0278268,0.7921281,0.0234117,0.7494097,0.0718435,0.6928288,0.0153816,0.5484933,0.0570027,0.8639113,0.0121359,0.869293,19818.24,30107.26,1.026465,7.449902,1.026345,0.9424298,37.09622,0.0774453,-0.0039496,35.2,12.5,14.3,19518.6,7686850,2.53922,0.11,0.67,0.946,0.91,1,0,0,0,102,35.2,2.13,0.037,0.95,,82.48,5.42,314090,-0.67,AUS
Austria,1,0,1.08,0.05,1,-4,2,0.58,0.16,0.008,0.004,1.6,1.85,0.42,0.2027359,0.1837636,0.5153214,0.6684422,0.1069517,0.3106748,0.015243,0,0.0231593,0.1204276,0.1252733,0.4417752,0.156741,0.4393849,0.3805476,0.1563174,0.0217275,0.6165402,0.0185749,0.7250515,0.0796576,0.5591289,0.0208782,,0.0339617,,0.0078578,0.6476372,22457.33,30562.76,1.019217,5.347867,1.018016,1.031907,53.07623,0.0727056,-0.0371258,30,7.6,8,8021.504,83858,95.6558,0.09,0.37,0.934,0.67,0,0,1,0,69,38.3,,0.047,0.44,1.15,73.47,6.33,200000,0.26,AUT
Belgium,1,0,0.21,0.41,,-4,2,,,0.048,0.004,,,0.57,0.101654,0.0649611,0.7578794,0.3070817,0.2168316,0.3112155,0.0196479,0,0.0255295,0.4086967,0.1269605,0.867609,0.1013013,0.0362247,0.2968547,0.1697447,0.0068899,0.9991251,0.017161,0.9035579,0.0788422,0.6209624,,,,,0.0123009,0.9509225,20808.22,29519.47,1.019362,8.497226,1.017862,1.056981,51.13565,0.0656547,-0.0281218,25,7.8,8,10269.75,30510,336.6028,0.54,0.18,0.942,0.97,0,1,0,0,97,39.1,,,0.25,0.38,64.25,5.46,116540,1.42,BEL
Canada,1,0,1.88,1.22,1,-3,3,0.32,0.47,0.321,0.299,2.7,3.25,0.64,0.4774175,0.1826773,0.4068279,0.7758494,0.1309672,0.5794832,0.0244466,0,0.0419803,0.7008039,0.1758083,0.9438248,0.1408733,0.9415534,0.278771,0.3178366,0.0222053,0.731318,0.0212274,0.6951875,0.052674,0.7170759,0.0148015,0.5123001,0.0421619,0.8633329,0.0142435,0.8159901,21590.43,30475.05,1.025521,8.368452,1.018526,1.097369,44.02423,0.1227042,0.0022905,33.1,10.1,12.8,31021.09,9984670,3.106872,0.67,0.64,0.943,0.79,1,0,0,0,103,36.9,1.73,0.035,1.02,,81.99,5.65,497306,-1.07,CAN
Czech Republic,0,0,,,0,-4,1,,,,,,,,0.1250753,0.1092193,0.4617105,0.6475088,0.0672189,0.1916482,0.0411289,0.02,0.0498333,0.1274703,0.1155897,0.2654766,0.1469893,0.0509464,0.299055,0.0886849,0.0637987,0.7338632,0.0227844,0.6219938,0.1228421,0.2532223,0.0206426,0.0405726,0.0708219,0.4503718,0.0239381,0.5970234,,17232.02,1.02064,6.7081,1.055242,0.9481167,46.09356,0.1371228,-0.049178,25.4,5.2,4.9,10236.38,78866,129.7946,0.1,0.53,0.868,0.75,0,0,1,0,35,37.6,4.47,0.037,0.01,0.42,38.29,5.26,127204,,CZE
Denmark,0,0,-0.38,-0.25,0,-5,1,0.43,0.32,0.174,0,1.5,1.45,0.65,0.3285241,0.0939436,0.4927095,0.6012341,0.1868325,0.4598784,0.0232994,0,0.0133622,0.1283339,0.1191004,0.4821317,0.0778871,0.9455818,0.4893885,0.540944,0.0137541,0.3218821,0.0246683,0.5639694,0.0477895,0.38765,0.0045171,0.0001654,0.0271057,0.5111509,,,21600.85,30736.36,1.020772,5.472201,1.022509,1.142596,57.56787,0.2819064,0.0195901,24.7,8.1,9.2,5356.4,43094,124.2957,0.04,0.23,0.932,0.85,0,0,0,1,83,38.7,1.93,,-0.08,0.96,76.25,6.67,71847,1.45,DEN
Finland,0,0,-0.83,-0.96,0,-5,1,0.36,0.31,0.196,0,3,3,0.78,0.2462555,0.2034702,0.4667957,0.7366746,0.0969164,0.3405952,0.0268458,0,0.0262134,0.2028148,0.1587654,0.4776368,0.1492499,0.637717,0.3928303,0.2102931,0.0100409,0.4306099,0.0246401,0.6903206,0.1075329,0.2599429,,,,,0.0064303,0.4474641,18156.81,28328.41,1.033417,11.82045,1.014332,1.260745,54.28688,0.0975029,0.0017335,26.9,5.6,5.4,5188.6,337030,15.39507,0.11,0.25,0.935,0.59,0,0,0,1,72,39.4,1.57,0.043,1.28,0.8,86.03,6.72,50539,1.66,FIN
France,0,0,-0.17,-1.23,0,-4,1,0.39,0.12,,,3,3,0.44,0.0994959,0.1530108,0.5403456,0.6126652,0.0698051,0.1700218,0.0303661,0,0.0180741,0.2284115,0.113479,0.2593092,0.1420692,0.0083344,0.3812768,0.0471102,0.0194667,0.603212,0.0156388,0.629994,0.0994719,0.1869023,,,,,0.0234008,0.9320582,20116.67,27820.31,1.016607,10.64528,1.015169,1.07851,54.04702,0.0667061,-0.0559236,32.7,9.1,8,61071.73,547030,111.6424,0.25,0.39,0.932,0.76,0,1,0,0,97,37.6,2.06,0.045,0.23,0.21,76.19,5.67,893100,-0.93,FRA
Germany,1,1,2.53,1.56,1,-1,3,0.7,0.13,0.009,0,2.5,2.68,0.87,0.294312,0.2305774,0.4558107,0.7747667,0.0932085,0.395817,0.0233861,0,0.0291446,0.921589,0.0818516,0.9643006,0.1342212,0.1467904,0.4060485,0.2262797,0.0300526,0.8434985,0.0149453,0.949339,0.0715916,0.5282683,0.0115981,0.8273548,0.0438692,0.5007101,0.0115958,0.9689603,20823.02,27098.5,1.012232,8.199418,1.015167,1.056762,48.71734,0.1380478,-0.0503945,28.3,6.9,8.3,82323.4,357021,230.5842,0.08,0.61,0.925,0.88,0,0,1,0,68,39.9,2.91,0.039,-0.41,0.23,78.09,6.27,230735,0.23,GER
Greece,0,0,-0.75,,0,-5,1,,,,,,,0.26,0.0082524,0.2562853,0.8242244,0.432061,0.0259229,0.0392327,0.018551,,,,,,,,,,,,,,0.0275973,,,,,,,,12532.94,20292.24,1.029471,10.2598,1.054643,0.713754,49.29071,,-0.1315685,35.4,10,,10878.32,131940,82.44903,0.07,0.05,0.902,0.6,0,1,0,0,58,39.1,,,-1.25,0.17,27,,107406,-0.74,GRE
